Name,Time,Value
,,0
,,0
Isaiah,2013-07-23 11-41-04.299,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,39
,,34
,,18
,,45
,,25
,,23
,,24
,,38
,,32
,,30
,,24
,,17
,,7
,,8
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,8
,,1
,,1
,,0
,,0
,,0
,,1
,,1
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,3
,,0
,,0
,,2
,,3
,,0
,,0
,,0
,,3
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,1
,,2
,,0
,,0
,,1
,,0
,,0
,,0
,,1
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,0
,,1
,,0
,,2
,,33
,,58
,,52
,,44
,,44
,,35
,,30
,,19
,,40
,,32
,,36
,,48
,,25
,,40
,,16
,,30
,,23
,,16
,,39
,,24
,,40
,,42
,,62
,,48
,,32
,,15
,,28
,,42
,,36
,,0
,,28
,,20
,,24
,,32
,,31
,,31
,,44
,,37
,,42
,,9
,,0
,,8
,,3
,,8
,,6
,,0
,,3
,,8
,,8
,,0
,,4
,,4
,,0
,,4
,,0
,,0
,,0
,,0
,,0
,,4
,,1
,,4
,,4
,,0
,,4
,,4
,,0
,,2
,,0
,,0
,,0
,,4
,,4
,,31
,,16
,,0
,,12
,,12
,,48
,,20
,,0
,,4
,,0
,,4
,,1
,,3
,,48
,,28
,,39
,,10
,,31
,,24
,,12
,,16
,,20
,,0
,,0
,,16
,,8
,,16
,,16
,,0
,,8
,,1
,,24
,,4
,,15
,,20
,,7
,,8
,,35
,,8
,,20
,,0
,,0
,,0
,,8
,,16
,,16
,,36
,,28
,,0
,,34
,,20
,,16
,,31
,,24
,,16
,,15
,,36
,,21
,,0
,,40
,,0
,,10
,,24
,,16
,,34
,,28
,,21
,,12
,,4
,,4
,,32
,,26
,,34
,,48
,,32
,,29
,,18
,,8
,,4
,,3
,,8
,,0
,,10
,,1
,,8
,,0
,,24
,,4
,,12
,,10
,,0
,,24
,,20
,,8
,,16
,,4
,,18
,,0
,,15
,,12
,,32
,,2
,,18
,,24
,,4
,,3
,,10
,,16
,,12
,,4
,,36
,,31
,,4
,,8
,,24
,,3
,,0
,,1
,,0
,,18
,,12
,,16
,,0
,,0
,,16
,,2
,,32
,,47
,,34
,,41
,,0
,,16
,,33
,,32
,,40
,,55
,,12
,,0
,,0
,,0
,,15
,,15
,,20
,,18
,,31
,,52
,,16
,,16
,,3
,,0
,,7
,,20
,,0
,,15
,,0
,,4
,,0
,,0
,,0
,,1
,,22
,,0
,,0
,,0
,,16
,,1
,,0
Isaiah,2013-07-23 11-45-45.164,
,,0
,,0
,,0
,,24
,,0
,,24
,,39
,,32
,,8
,,32
,,12
,,16
,,0
,,8
,,0
,,40
,,0
,,8
,,0
,,8
,,8
,,52
,,0
,,0
,,32
,,10
,,0
,,20
,,40
,,34
,,0
,,48
,,12
,,18
,,21
,,23
,,32
,,16
,,28
,,31
,,0
,,0
,,3
,,8
,,12
,,12
,,34
,,0
,,0
,,0
,,0
,,0
,,0
,,24
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,3
,,24
,,0
,,0
,,0
,,0
,,0
,,20
,,1
,,0
,,0
Isaiah,2013-07-23 11-48-41.782,
,,0
,,0
,,42
,,0
,,3
,,4
,,0
,,20
,,26
,,24
,,18
,,4
,,38
,,20
,,55
,,12
,,26
,,31
,,24
,,12
,,32
,,23
,,16
,,24
,,32
,,20
,,26
,,74
,,16
,,24
,,39
,,32
,,20
,,52
,,48
,,56
,,36
,,28
,,4
,,7
,,0
,,0
,,8
,,0
,,0
,,0
,,0
,,0
