Name,Time,Value
,,0
,,3
Michael,2013-07-23 12-36-48.246,
,,2
,,0
,,0
,,1
,,2
,,9
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,1
,,0
,,3
,,0
,,2
,,3
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,1
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,0
,,2
,,0
,,2
,,1
,,2
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,0
,,8
,,7
,,7
,,32
,,20
,,24
,,16
,,4
,,18
,,8
,,2
,,2
,,24
,,16
,,4
,,2
,,0
,,4
,,1
,,4
,,1
,,1
,,8
,,7
,,23
,,20
,,16
,,0
,,12
,,15
,,1
,,4
,,1
,,0
,,4
,,8
,,2
,,16
,,26
,,4
,,7
,,20
,,0
,,0
,,4
,,2
,,0
,,0
,,16
,,0
,,6
,,24
,,12
,,22
,,3
,,12
,,0
,,4
,,8
,,0
,,0
,,4
,,4
,,16
,,8
,,14
,,20
,,0
,,40
,,0
,,8
,,28
,,12
,,1
,,31
,,10
,,12
,,12
,,10
,,16
,,0
,,0
,,16
,,0
,,0
,,0
,,0
,,16
,,8
,,8
,,0
,,8
,,24
,,0
,,7
,,0
,,0
,,16
,,0
,,0
,,20
,,18
,,7
,,20
,,0
,,16
,,1
,,7
,,15
,,0
,,0
,,16
,,16
,,0
,,18
,,3
,,0
,,12
,,4
,,0
,,10
,,20
,,0
,,0
,,0
,,32
,,0
,,12
,,12
,,19
,,7
,,20
,,15
,,0
,,1
,,0
,,12
,,28
,,16
,,0
,,19
,,0
,,8
,,24
,,0
,,24
,,36
,,3
,,0
,,3
,,20
,,15
,,16
,,30
,,0
,,0
,,8
,,0
,,4
,,0
,,0
,,12
,,0
,,15
,,16
,,0
,,8
,,0
,,0
,,16
,,0
,,8
,,0
,,34
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,1
,,12
,,0
,,0
,,0
,,7
,,3
,,0
,,10
,,0
,,0
,,10
,,0
,,0
,,24
,,16
,,7
,,32
,,0
,,0
,,10
,,0
,,0
,,0
,,0
,,0
,,0
,,4
,,0
,,15
,,10
,,0
,,12
,,0
,,0
,,10
,,0
,,3
,,8
,,3
,,0
,,0
,,8
,,7
,,4
,,0
,,0
,,4
,,8
,,0
,,12
,,0
,,15
,,0
,,0
,,0
,,0
,,2
,,16
,,0
,,7
,,3
,,0
,,4
,,8
,,0
,,2
,,8
,,12
,,3
,,0
,,0
,,7
,,4
,,0
,,15
,,23
,,40
,,12
,,16
,,0
,,0
,,20
,,32
,,8
,,3
,,16
,,10
,,16
,,3
,,2
,,0
,,1
,,12
,,15
,,20
,,20
,,0
,,0
,,28
,,16
,,3
,,0
,,20
,,0
,,0
,,0
,,10
,,0
,,0
,,0
,,8
,,16
,,20
,,3
,,0
,,28
,,20
,,1
,,4
,,20
,,16
,,8
,,20
,,52
,,0
,,0
,,0
,,1
,,26
,,7
,,0
,,0
,,10
,,0
,,0
,,0
,,24
,,4
,,0
,,0
,,12
,,0
,,0
,,16
,,0
,,0
,,0
,,4
,,0
,,34
,,0
,,23
,,0
,,7
,,8
,,0
,,0
,,10
,,0
,,0
,,0
,,10
,,15
,,0
,,10
,,0
,,0
,,8
,,7
,,4
,,7
,,3
,,0
,,4
,,15
,,0
,,0
,,8
,,24
,,8
,,8
,,15
,,0
,,12
,,0
,,0
,,0
,,1
,,8
,,0
,,0
,,0
,,4
,,0
,,20
,,31
,,0
,,1
,,0
,,40
,,0
,,8
,,0
,,20
,,4
,,0
,,20
,,6
,,0
,,7
,,0
,,15
,,15
,,0
,,8
,,8
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,31
,,0
,,0
,,15
,,0
,,4
,,15
,,16
,,0
,,18
,,0
,,18
,,12
,,32
,,27
,,8
,,4
,,44
,,4
,,2
,,42
,,0
,,24
,,16
,,3
,,0
,,31
,,2
,,0
,,7
,,0
,,10
,,0
,,16
,,0
,,0
,,15
,,0
,,0
,,8
,,0
,,31
,,0
,,0
,,23
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,7
,,17
Michael,2013-07-23 12-41-57.946,
,,0
,,0
,,52
,,44
,,2
,,8
,,48
,,30
,,16
,,0
,,50
,,0
,,0
,,8
,,0
,,48
,,0
,,46
,,0
,,0
,,31
,,0
,,0
,,31
,,8
,,28
,,8
,,24
,,1
,,0
,,0
,,44
,,26
,,0
,,0
,,12
,,0
,,0
,,0
,,8
,,0
,,0
,,0
,,12
,,4
,,30
,,0
,,0
,,8
,,0
,,0
,,0
,,15
,,0
,,4
,,7
,,0
,,36
,,16
,,12
,,31
,,0
,,28
,,0
,,0
,,0
,,16
,,2
,,30
,,0
,,0
,,16
,,0
,,0
,,4
,,0
,,0
,,0
,,4
,,0
,,0
,,23
,,0
,,7
,,0
,,40
,,7
,,0
,,28
,,0
,,2
,,0
,,1
,,4
,,8
,,28
,,7
,,3
,,0
,,4
,,0
,,19
,,0
,,0
,,44
,,42
,,0
,,28
,,48
,,0
,,0
,,44
,,24
,,0
,,1
,,11
,,0
,,0
,,5
,,0
,,16
,,0
,,1
,,2
,,2
,,30
,,28
,,8
,,16
,,28
,,0
,,0
,,8
,,0
,,0
,,26
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,24
,,23
,,0
,,0
,,1
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,4
,,12
,,16
,,0
,,24
,,0
,,16
,,4
,,0
,,24
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,16
,,16
,,0
,,0
,,8
,,0
,,28
,,0
,,8
,,15
,,0
,,16
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,23
,,48
,,24
,,44
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,8
,,0
,,1
,,24
,,10
,,10
,,8
,,0
,,0
,,0
,,12
,,15
,,0
,,31
,,0
,,18
,,24
,,8
,,0
,,0
,,0
,,18
,,1
,,0
,,0
,,18
,,15
,,2
,,0
,,1
,,7
,,0
,,18
,,0
,,0
,,16
,,0
,,0
,,0
,,4
,,0
,,16
,,0
,,16
,,16
,,0
,,16
,,15
,,24
,,16
,,31
,,0
,,24
,,1
,,32
,,0
,,0
,,1
,,0
,,52
,,0
,,7
,,15
,,7
,,0
,,8
,,11
,,0
,,7
,,16
,,15
,,0
,,8
,,0
,,15
,,4
,,22
,,36
,,31
,,13
,,0
,,20
,,0
,,12
,,15
,,0
,,3
,,0
,,0
,,4
,,32
,,0
,,4
Michael,2013-07-23 12-45-43.067,
,,0
,,0
,,1
,,1
,,1
,,1
,,0
,,0
,,0
,,1
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,1
,,1
,,4
,,3
,,2
,,8
,,0
,,0
,,0
,,4
,,4
,,0
,,0
,,18
,,0
,,7
,,8
,,0
,,0
,,0
,,4
,,2
,,2
,,0
,,8
,,2
,,2
,,0
,,2
,,2
,,2
,,0
,,2
,,4
,,0
,,0
,,0
,,8
,,4
,,0
,,4
,,4
,,0
,,4
,,0
,,4
,,2
,,0
,,1
,,0
,,0
,,2
,,4
,,2
,,0
,,2
,,0
,,2
,,0
,,2
,,0
,,0
,,4
,,4
,,10
,,4
,,4
,,0
,,4
,,1
,,0
,,8
,,0
,,4
,,6
,,6
,,3
,,6
,,16
,,8
,,8
,,0
,,0
,,8
,,16
,,0
,,8
,,0
,,3
,,0
,,0
,,8
,,0
,,8
,,7
,,0
,,0
,,8
,,4
,,0
,,0
,,8
,,0
,,0
,,0
,,1
,,7
,,8
,,0
,,0
,,7
,,0
,,10
,,0
,,0
,,1
,,0
,,0
,,0
,,7
,,3
,,0
,,0
,,0
,,0
,,12
,,0
,,10
,,3
,,10
,,0
,,0
,,0
,,7
,,0
,,8
,,0
,,0
,,0
,,8
,,12
,,7
,,0
,,0
,,10
,,3
,,0
,,0
,,12
,,0
,,0
,,0
,,16
,,0
,,12
,,0
,,0
,,0
,,0
,,0
,,16
,,12
,,0
,,0
,,16
,,16
,,1
,,0
,,16
,,0
,,0
,,14
,,16
,,0
,,16
,,0
,,0
,,0
,,14
,,0
,,3
,,0
,,0
,,0
,,0
,,15
,,16
,,15
,,0
,,0
,,1
,,0
,,15
,,16
,,0
,,0
,,0
,,0
,,0
,,14
,,16
,,0
,,0
,,3
Michael,2013-07-23 12-48-26.079,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,8
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,2
,,2
,,4
,,4
,,2
,,0
,,0
,,4
,,0
