Name,Time,Value
Tavian,2013-07-23 10-16-51.724,
,,0
,,6
,,0
,,0
,,0
,,10
,,59
,,64
,,55
,,26
,,40
,,31
,,36
,,24
,,12
,,40
,,12
,,44
,,14
,,24
,,20
,,15
,,48
,,53
,,27
,,56
,,68
,,43
,,48
,,56
,,16
,,0
,,31
,,28
,,40
,,19
,,8
,,28
,,18
,,28
,,31
,,15
,,32
,,11
,,2
,,15
,,24
,,28
,,29
,,1
,,4
,,7
,,40
,,47
,,52
,,32
,,27
,,40
,,31
,,16
,,8
,,0
,,4
,,15
,,18
,,0
,,26
,,16
,,8
,,0
,,7
,,20
,,24
,,40
,,16
,,0
,,4
,,0
,,8
,,58
,,28
,,20
,,36
,,28
,,31
,,20
,,20
,,8
,,52
,,20
,,32
,,28
,,52
,,31
,,40
,,52
,,36
,,24
,,52
,,0
,,0
,,40
,,16
,,12
,,0
,,7
,,5
,,31
,,24
,,54
,,40
,,48
,,16
,,32
,,7
,,0
,,24
,,7
,,31
,,36
,,26
,,28
,,38
,,32
,,4
,,0
,,12
,,1
,,7
,,0
,,0
,,0
Tavian,2013-07-23 10-19-02.161,
,,8
,,0
,,40
,,80
,,32
,,1
,,16
,,0
,,0
,,0
,,0
,,3
,,0
,,1
,,1
,,8
,,18
,,16
,,32
,,32
,,24
,,73
,,20
,,15
,,16
,,16
,,0
,,8
,,0
,,0
,,28
,,44
,,31
,,28
,,12
,,24
,,56
,,12
,,51
,,16
,,31
,,58
,,8
,,48
,,40
,,40
,,55
,,12
,,3
,,2
,,0
,,20
,,32
,,8
,,16
,,40
,,36
,,8
,,0
,,0
,,0
,,0
,,0
,,8
,,16
,,12
,,10
,,4
,,4
,,16
,,0
,,8
,,24
,,31
,,56
,,16
,,16
,,0
,,0
,,2
,,1
,,66
,,36
,,33
,,43
,,15
,,12
,,22
,,11
,,0
,,16
,,0
,,0
,,24
,,0
,,0
,,0
,,0
,,0
,,4
,,20
,,44
,,32
,,16
,,0
,,3
,,0
,,3
,,0
,,0
,,0
,,7
,,7
,,16
,,0
,,0
,,32
,,26
,,3
,,16
,,0
,,0
,,12
,,0
,,0
,,3
,,12
,,0
,,7
,,0
,,7
,,0
,,0
,,52
,,0
,,32
,,34
,,2
,,24
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,8
,,0
,,0
,,0
,,8
,,8
,,7
,,8
,,8
,,0
,,0
,,8
,,0
,,0
,,8
,,8
,,0
,,16
,,13
,,16
