Name,Time,Value
Cora,2013-07-23 10-16-31.492,
,,4
,,0
,,0
,,0
,,2
,,7
,,2
,,1
,,4
,,13
,,7
,,4
,,8
,,0
,,0
,,1
,,0
,,0
,,0
,,6
,,2
,,0
,,0
,,4
,,0
,,5
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,4
,,1
,,3
,,7
,,8
,,35
,,39
,,22
,,0
,,0
,,0
,,20
,,4
,,8
,,4
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,5
,,12
,,21
,,4
,,7
,,4
,,11
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,6
,,20
,,35
,,8
,,28
,,16
,,33
,,47
,,24
,,31
,,12
,,9
,,40
,,7
,,31
,,28
,,24
,,1
,,1
,,8
,,23
,,13
,,0
,,15
,,8
,,25
,,3
,,24
,,23
,,24
,,23
,,16
,,13
,,8
,,23
,,28
,,8
,,12
,,8
,,32
,,8
,,3
,,26
,,15
,,14
,,20
,,0
,,11
,,32
,,8
,,21
,,24
,,0
,,8
,,16
,,30
,,8
,,22
,,0
,,19
,,8
,,48
,,31
,,18
,,17
,,10
,,0
,,42
,,16
,,24
,,10
,,24
,,16
,,24
,,15
,,0
,,16
,,15
,,12
,,31
,,30
,,39
,,32
,,7
,,8
,,36
,,12
,,15
,,23
,,32
,,4
,,8
,,0
,,0
,,1
,,6
,,0
,,8
,,6
,,0
,,0
,,0
,,4
,,4
,,0
,,0
,,4
,,4
,,0
,,0
,,4
,,2
,,4
,,0
,,4
,,1
,,4
,,4
,,2
,,0
,,0
,,0
,,4
,,0
,,1
,,0
,,0
,,2
,,2
,,0
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,10
,,0
,,24
,,15
,,3
,,7
,,31
,,0
,,2
,,8
,,20
,,16
,,40
,,64
,,54
,,48
,,33
,,31
,,20
,,31
,,44
,,32
,,0
,,20
,,24
,,47
,,4
,,32
,,19
,,0
,,31
,,16
,,47
,,24
,,11
,,43
,,32
,,8
,,20
,,28
,,48
,,56
,,36
,,10
,,47
,,12
,,36
,,36
,,0
,,28
,,42
,,48
,,18
,,10
,,31
,,7
,,11
,,31
,,24
,,28
,,28
,,32
,,0
,,12
,,4
,,1
,,20
,,24
,,4
,,8
,,7
,,7
,,7
,,16
,,4
,,20
,,40
,,32
,,16
,,8
,,24
,,10
,,24
,,56
,,20
,,0
,,11
,,42
,,36
,,55
,,36
,,36
,,48
,,32
,,12
,,2
,,16
,,64
,,26
,,15
,,40
,,8
,,24
,,31
,,32
,,5
,,52
,,43
,,40
,,50
,,32
,,8
,,8
,,0
,,7
,,0
,,16
,,14
,,3
,,0
,,1
,,16
,,1
,,7
,,36
,,32
,,31
,,17
,,0
,,0
,,0
,,0
,,0
,,7
,,12
,,12
,,0
,,3
,,0
,,0
,,0
,,1
,,0
,,0
,,1
,,8
,,3
,,8
,,8
,,8
,,0
,,0
,,0
,,3
,,0
,,8
,,8
,,1
,,8
,,8
,,8
,,0
,,0
,,8
,,6
,,0
,,6
,,0
,,0
,,4
,,1
,,4
,,4
,,3
,,4
,,4
,,0
,,3
,,4
,,0
,,0
,,4
,,1
,,0
,,4
,,8
,,0
,,16
,,24
,,32
,,4
,,16
,,16
,,15
,,31
,,24
,,20
,,1
,,2
,,4
,,0
,,3
,,28
,,0
,,0
,,24
,,15
,,24
,,23
,,47
,,32
,,40
,,23
,,31
,,1
,,1
,,4
,,16
,,24
,,24
,,0
,,4
,,1
,,0
,,4
,,4
,,1
,,16
,,0
,,20
,,20
,,23
,,15
,,4
,,4
,,4
,,0
,,0
,,0
,,28
,,20
,,24
,,26
,,8
,,20
,,20
,,2
,,3
,,0
,,0
,,18
,,3
,,15
,,3
,,4
,,4
,,0
,,12
,,3
,,16
,,2
,,2
,,2
,,2
,,2
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,26
,,51
,,32
,,12
,,26
,,17
,,16
,,2
,,21
