Name,Time,Value
,,0
Isha,2013-07-23 11-41-04.347,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,1
,,0
,,1
,,3
,,0
,,0
,,0
,,0
,,3
,,8
,,0
,,0
,,3
,,0
,,1
,,0
,,0
,,0
,,1
,,1
,,0
,,3
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,1
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,1
,,0
,,3
,,0
,,0
,,3
,,0
,,3
,,1
,,0
,,0
,,1
,,0
,,0
,,1
,,0
,,0
,,1
,,1
,,1
,,3
,,1
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,1
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,3
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,1
,,0
,,1
,,1
,,0
,,0
,,0
,,1
,,9
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,1
,,0
,,0
,,1
,,1
,,1
,,1
,,12
,,53
,,68
,,100
,,54
,,47
,,2
,,16
,,86
,,89
,,78
,,117
,,98
,,59
,,49
,,98
,,85
,,76
,,87
,,61
,,84
,,95
,,95
,,96
,,56
,,48
,,76
,,63
,,72
,,71
,,64
,,82
,,70
,,92
,,31
,,32
,,82
,,68
,,88
,,76
,,76
,,64
,,66
,,31
,,27
,,64
,,48
,,36
,,58
,,64
,,40
,,43
,,64
,,74
,,64
,,31
,,35
,,50
,,50
,,72
,,43
,,18
,,31
,,40
,,63
,,47
,,48
,,36
,,18
,,52
,,47
,,32
,,23
,,48
,,80
,,52
,,29
,,32
,,24
,,26
,,24
,,46
,,20
,,20
,,8
,,8
,,32
,,25
,,48
,,4
,,12
,,36
,,0
,,16
,,0
,,0
,,1
,,7
,,0
,,0
,,1
,,0
,,0
,,14
,,0
,,0
,,10
,,1
,,0
,,0
,,0
,,12
,,12
,,0
,,0
,,0
,,0
,,0
,,7
,,12
,,10
,,10
,,0
,,3
,,0
,,0
,,0
,,0
,,3
,,31
,,44
,,32
,,36
,,35
,,32
,,68
,,24
,,28
,,44
,,66
,,20
,,32
,,18
,,62
,,48
,,26
,,40
,,48
,,10
,,47
,,0
,,8
,,23
,,63
,,24
,,32
,,48
,,26
,,8
,,16
,,41
,,23
,,32
,,24
,,24
,,36
,,58
,,24
,,66
,,15
,,0
,,3
,,16
,,0
,,12
,,12
,,0
,,40
,,50
,,24
,,24
,,72
,,56
,,31
,,0
,,0
,,0
,,16
,,40
,,20
,,32
,,40
,,24
,,24
,,31
,,48
,,20
,,16
,,32
,,36
,,66
,,63
,,48
,,42
,,37
,,26
,,36
,,72
,,44
,,80
,,88
,,44
,,28
,,10
,,36
,,44
,,68
,,64
,,40
,,47
,,48
,,0
,,36
,,35
,,16
,,0
,,0
,,16
,,0
,,0
,,0
,,16
,,15
,,0
,,0
,,8
,,7
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,12
,,0
,,0
,,23
,,52
,,16
,,63
,,16
,,0
,,0
,,47
,,63
,,63
,,0
,,0
,,40
,,7
,,1
,,7
,,0
,,0
,,12
,,12
Isha,2013-07-23 11-46-01.968,
,,0
,,0
,,31
,,0
,,0
,,15
,,0
,,0
,,0
,,24
,,4
,,47
,,0
,,20
,,0
,,3
,,0
,,0
,,15
,,0
,,0
,,30
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,1
,,0
,,32
,,8
,,16
,,10
,,63
,,16
,,40
,,36
,,16
,,60
,,39
,,8
,,32
,,48
,,24
,,56
,,2
,,24
,,39
,,40
,,48
,,8
,,15
,,4
,,40
,,26
,,16
,,16
,,27
,,32
,,42
,,44
,,76
,,32
,,24
,,28
,,92
,,55
,,57
,,8
,,0
,,1
,,18
,,20
,,32
,,32
,,40
,,52
,,66
,,15
,,16
,,63
,,32
,,8
,,0
,,0
,,56
,,4
,,15
,,4
,,12
,,0
,,0
,,0
,,15
,,0
,,0
,,2
,,15
,,15
,,0
,,22
,,0
,,0
,,12
,,0
,,4
,,0
,,20
,,0
,,18
,,0
,,0
,,0
,,20
,,3
,,18
,,0
,,0
,,18
,,1
,,0
,,0
,,4
,,2
,,0
,,0
,,0
,,0
,,21
,,8
,,3
,,0
,,48
,,26
,,0
,,15
,,16
,,16
,,0
,,15
,,0
,,21
,,0
,,0
,,4
,,12
,,20
,,32
,,20
,,14
,,0
,,0
Isha,2013-07-23 11-49-06.137,
,,0
,,43
,,24
,,60
,,16
,,40
,,24
,,32
,,24
,,23
,,40
,,0
,,56
,,32
,,8
,,16
,,0
,,40
,,0
,,0
,,0
,,4
,,32
,,0
,,18
,,16
,,8
,,4
,,20
,,48
,,32
,,34
,,32
,,4
,,0
,,16
,,0
,,81
,,3
,,39
,,16
,,63
,,32
,,32
,,16
,,36
,,28
,,12
,,32
,,36
,,32
,,2
,,16
,,28
,,12
,,0
,,0
,,0
,,0
,,15
,,31
,,31
,,0
,,0
,,0
,,34
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,32
,,26
,,32
,,36
,,34
,,48
,,34
,,31
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,24
,,0
,,0
Isha,2013-07-23 11-52-01.844,
,,3
,,0
,,0
,,31
,,1
,,42
,,20
,,44
,,32
,,0
,,0
,,0
,,56
,,31
,,24
,,24
,,54
,,39
,,48
,,48
,,48
,,44
,,52
,,40
,,0
,,40
,,0
,,0
,,0
,,36
,,48
,,16
,,52
,,32
,,35
,,47
,,64
,,36
,,98
,,48
,,64
,,66
,,18
,,20
,,64
,,24
,,22
,,2
,,10
,,34
,,32
,,48
,,0
,,0
,,52
,,0
,,0
,,0
Isha,2013-07-23 11-56-08.189,
,,0
,,0
,,0
,,2
,,34
,,54
,,58
,,58
,,62
,,46
,,34
,,28
,,0
,,0
,,0
,,47
,,42
,,20
,,20
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,10
,,31
,,38
,,19
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,11
,,8
,,0
,,6
,,14
,,28
,,30
,,23
,,30
,,40
,,11
,,0
,,0
,,34
,,38
,,29
,,18
,,30
,,16
,,0
,,0
,,0
,,0
,,12
,,24
,,10
,,18
,,18
,,0
,,0
,,8
,,0
,,0
,,5
,,4
,,12
,,0
,,0
,,0
,,0
,,63
,,63
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,4
,,4
,,8
,,0
,,0
,,8
,,12
,,8
,,63
,,82
,,0
,,0
,,0
,,0
,,0
,,56
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,16
,,1
,,0
,,15
,,0
,,20
,,31
,,20
,,39
,,4
,,0
,,0
,,0
,,0
,,0
,,0
,,4
,,0
,,4
,,0
,,0
,,10
,,0
,,0
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,12
,,0
,,15
,,0
,,15
,,16
,,16
,,10
,,0
,,0
,,0
,,16
,,32
,,8
,,63
,,0
,,0
,,36
,,12
,,32
,,40
,,0
,,19
,,0
,,16
,,34
,,63
,,24
,,40
,,20
,,33
,,41
,,80
,,52
,,21
,,0
,,24
,,4
,,0
,,0
,,36
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,8
,,0
,,0
,,18
,,29
,,32
,,0
,,0
,,7
,,0
,,30
,,32
,,36
,,32
,,2
,,16
,,0
,,10
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,12
,,0
,,0
,,0
,,0
,,24
,,0
,,47
,,0
,,24
,,0
,,15
,,0
,,20
,,0
,,0
,,3
,,0
,,3
,,0
,,16
,,0
,,0
,,0
,,0
,,20
,,0
,,15
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,3
,,0
,,0
,,3
,,16
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,2
,,7
,,0
,,18
,,44
,,16
,,27
,,39
,,40
,,28
,,4
,,12
,,0
,,0
,,24
,,0
,,14
,,24
,,44
,,32
,,42
,,44
,,28
,,0
,,0
,,15
,,0
,,0
,,16
,,7
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,1
,,0
,,0
,,20
,,67
,,60
,,56
,,24
,,24
,,40
,,12
,,20
,,0
,,8
,,23
,,48
,,0
,,0
,,1
,,15
,,0
,,7
,,16
,,15
,,0
,,16
,,0
,,0
,,0
,,0
,,12
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,12
,,0
,,0
,,40
,,48
,,56
,,52
,,12
,,28
,,64
,,60
,,31
