Name,Time,Value
Melissa,2013-07-23 10-16-26.346,
,,8
,,0
,,0
,,44
,,40
,,48
,,100
,,48
,,56
,,56
,,40
,,64
,,40
,,48
,,39
,,19
,,39
,,55
,,23
,,29
,,52
,,24
,,17
,,23
,,28
,,24
,,31
,,51
,,39
,,63
,,48
,,40
,,80
,,56
,,31
,,42
,,84
,,49
,,64
,,32
,,52
,,12
,,24
,,52
,,0
,,64
,,47
,,48
,,44
,,50
,,43
,,31
,,28
,,48
,,64
,,88
,,52
,,48
,,56
,,80
,,32
,,74
,,72
,,81
,,68
,,44
,,52
,,42
,,64
,,79
,,96
,,68
,,64
,,72
,,32
,,52
,,0
,,10
,,76
,,72
,,64
,,84
,,40
,,24
,,16
,,16
,,36
,,0
,,18
,,56
,,58
,,24
,,96
,,71
,,56
,,47
,,65
,,55
,,64
,,32
,,52
,,16
,,32
,,24
,,0
,,24
,,3
,,2
,,0
,,15
,,34
,,7
,,8
,,44
,,48
,,36
,,45
,,63
,,15
,,48
,,44
,,36
,,40
,,47
,,63
,,36
,,50
,,32
,,24
,,24
,,52
,,24
,,63
,,9
,,50
,,48
,,88
,,16
,,34
,,104
,,56
,,10
,,0
,,0
,,30
,,16
,,64
,,68
,,28
,,24
,,32
,,0
,,52
,,112
,,39
,,64
,,64
,,96
,,63
,,28
,,16
,,32
,,36
,,0
,,16
,,32
,,40
,,8
,,16
,,63
,,0
,,0
,,3
,,3
,,0
,,0
,,4
,,8
,,64
,,100
,,40
,,0
,,9
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,28
,,0
,,0
,,0
,,0
,,15
,,1
,,47
,,40
,,0
,,0
,,15
Melissa,2013-07-23 10-18-29.739,
,,1
,,0
,,0
,,20
,,0
,,16
,,0
,,0
,,0
,,0
,,0
Melissa,2013-07-23 10-19-22.657,
,,0
,,0
,,12
,,31
,,63
,,8
,,49
,,31
,,4
,,16
,,10
,,8
,,32
,,16
,,18
,,32
,,8
,,20
,,31
,,12
,,16
,,8
,,32
,,34
,,58
,,0
,,16
,,16
,,56
,,16
,,9
,,37
,,36
,,4
,,16
,,4
,,1
,,0
,,15
,,0
,,24
,,0
,,0
,,16
,,16
,,32
,,16
,,0
,,4
,,10
,,20
,,2
,,0
,,0
,,0
Melissa,2013-07-23 10-20-43.135,
,,31
,,0
,,16
,,0
,,31
,,24
,,2
,,18
,,0
,,4
,,16
,,24
,,48
,,0
,,32
,,20
,,104
,,16
,,73
,,52
,,0
,,10
,,74
,,104
,,84
,,127
,,104
,,106
,,56
,,40
,,82
,,58
,,64
,,32
,,28
,,48
,,19
,,31
,,31
,,58
,,68
,,64
,,64
,,16
,,80
,,95
,,0
,,31
,,0
,,0
,,0
,,0
,,0
,,50
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,40
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,36
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,30
,,0
,,32
,,0
,,0
,,0
,,20
,,40
,,4
,,76
,,64
,,144
,,96
,,16
,,18
,,36
,,4
,,8
,,16
,,31
,,40
,,16
,,18
,,31
,,16
,,4
,,16
,,20
,,26
,,20
,,12
,,18
,,20
,,0
,,15
,,31
,,21
,,32
,,40
,,16
,,36
,,48
,,15
,,20
,,24
,,4
,,24
,,12
,,20
,,12
,,2
,,19
,,32
,,32
,,40
,,45
,,12
,,28
,,0
,,4
,,31
,,60
,,0
,,23
,,62
,,0
,,0
,,0
,,16
,,0
,,15
,,15
,,30
,,30
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,4
,,8
,,0
,,23
,,8
,,21
,,64
,,18
,,24
,,26
,,8
,,8
,,0
,,0
,,8
,,0
,,0
,,3
,,20
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,8
,,24
,,65
,,1
,,0
,,0
,,20
,,0
,,0
,,0
,,15
,,0
,,16
,,0
,,0
,,28
,,56
,,68
,,74
,,100
,,68
,,59
,,42
,,48
,,63
,,98
,,8
,,0
,,0
,,0
,,16
,,4
,,16
,,0
,,0
,,16
,,0
,,0
,,16
,,0
,,74
,,47
,,100
,,64
,,40
,,88
,,56
,,64
,,0
,,56
,,68
,,0
,,16
,,0
,,0
,,16
,,0
,,36
,,4
,,0
,,24
,,31
,,32
,,16
,,72
,,0
,,0
,,7
,,0
,,0
Melissa,2013-07-23 10-24-19.514,
,,0
,,0
,,40
,,0
,,20
,,20
,,10
,,32
,,48
,,12
,,28
,,32
,,111
,,112
,,113
,,156
,,76
,,132
,,80
,,116
,,72
,,104
,,84
,,74
,,106
,,148
,,64
,,95
,,95
,,84
,,58
,,64
,,176
,,114
,,64
,,18
,,63
,,12
,,8
,,15
,,0
,,31
,,26
,,32
,,32
,,39
,,66
,,80
,,74
,,56
,,32
,,32
,,28
,,20
,,24
,,16
,,54
,,63
,,42
,,8
,,34
,,36
,,0
,,10
,,36
,,63
,,12
,,0
,,4
,,34
,,0
,,0
,,20
,,42
,,72
,,72
,,48
,,24
,,34
,,79
,,48
,,76
,,72
,,4
,,64
,,64
,,64
,,36
,,63
,,80
,,0
,,0
,,8
,,15
,,10
,,32
,,0
,,0
,,32
,,0
,,30
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,26
,,26
,,24
,,24
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,20
,,0
,,7
,,0
,,7
,,15
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,28
,,45
,,16
,,63
,,40
,,95
,,52
,,84
,,64
,,48
,,3
,,15
,,2
,,20
,,8
,,52
,,16
,,0
,,8
,,44
,,23
,,32
,,0
,,44
,,52
,,28
,,16
,,52
,,24
,,8
,,20
,,20
,,68
,,16
,,56
,,0
,,24
,,0
,,24
,,1
,,0
,,0
,,1
,,0
,,0
,,0
Melissa,2013-07-23 10-26-20.946,
,,0
,,0
,,3
,,0
,,0
,,4
,,0
,,8
,,62
,,32
,,0
,,0
,,0
,,0
,,24
,,0
,,0
,,16
,,12
,,15
,,1
,,0
,,31
,,16
,,10
,,0
,,0
,,20
,,1
,,12
,,31
,,9
,,0
,,16
,,0
,,0
,,32
,,8
,,4
,,8
,,2
,,0
,,0
,,3
,,39
,,68
,,48
,,33
