Name,Time,Value
Morgan,2013-07-23 12-36-48.211,
,,8
,,8
,,33
,,16
,,16
,,8
,,0
,,0
,,3
,,4
,,0
,,0
,,1
,,0
,,0
,,22
,,17
,,1
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,16
,,28
,,24
,,24
,,29
,,11
,,35
,,36
,,35
,,38
,,36
,,27
,,28
,,20
,,18
,,32
,,40
,,28
,,40
,,48
,,90
,,64
,,23
,,2
,,1
,,0
,,41
,,18
,,23
,,28
,,24
,,32
,,12
,,1
,,48
,,4
,,32
,,18
,,0
,,50
,,24
,,48
,,31
,,52
,,23
,,15
,,64
,,56
,,68
,,76
,,67
,,74
,,24
,,42
,,41
,,47
,,0
,,32
,,19
,,47
,,16
,,4
,,3
,,48
,,47
,,37
,,52
,,39
,,16
,,48
,,74
,,48
,,44
,,23
,,66
,,18
,,17
,,58
,,44
,,10
,,26
,,31
,,65
,,52
,,25
,,32
,,58
,,21
,,24
,,24
,,8
,,32
,,16
,,40
,,24
,,32
,,50
,,42
,,16
,,16
,,40
,,0
,,16
,,52
,,24
,,42
,,31
,,32
,,40
,,4
,,40
,,0
,,0
,,8
,,8
,,7
,,48
,,28
,,54
,,4
,,27
,,18
,,0
,,31
,,0
,,0
,,64
,,52
,,24
,,32
,,48
,,31
,,0
,,2
,,0
,,23
,,18
,,8
,,0
,,1
,,24
,,48
,,26
,,20
,,31
,,32
,,48
,,7
,,32
,,55
,,56
,,7
,,16
,,32
,,0
,,1
,,44
,,12
,,42
,,7
,,48
,,24
,,40
,,16
,,32
,,16
,,47
,,15
,,8
,,4
,,26
,,15
,,16
,,0
,,31
,,16
,,8
,,12
,,24
,,0
,,12
,,0
,,0
,,0
,,32
,,34
,,16
,,0
,,1
,,0
,,8
,,0
,,8
,,0
,,8
,,0
,,0
,,8
,,8
,,20
,,52
,,32
,,28
,,40
,,26
,,31
,,32
,,40
,,32
,,8
,,3
,,0
,,19
,,15
,,3
,,0
,,0
,,8
,,8
,,19
,,16
,,0
,,0
,,8
,,0
,,0
,,0
,,6
,,3
,,0
,,4
,,10
,,3
,,16
,,24
,,32
,,24
,,0
,,4
,,4
,,0
,,0
,,4
,,4
,,0
,,0
,,0
,,4
,,4
,,0
,,0
,,3
,,4
,,2
,,4
,,4
,,4
,,4
,,4
,,4
,,0
,,0
,,0
,,12
,,0
,,4
,,4
,,1
,,7
,,4
,,2
,,2
,,4
,,0
,,4
,,8
,,0
,,12
,,16
,,4
,,0
,,4
,,40
,,51
,,36
,,39
,,45
,,64
,,76
,,40
,,32
,,62
,,64
,,35
,,64
,,32
,,12
,,46
,,10
,,68
,,10
,,62
,,10
,,3
,,66
,,24
,,47
,,3
,,1
,,28
,,68
,,25
,,4
,,4
,,72
,,37
,,8
,,15
,,24
,,64
,,44
,,4
,,10
,,46
,,23
,,28
,,39
,,30
,,16
,,36
,,0
,,3
,,2
,,18
,,0
,,20
,,57
,,32
,,36
,,32
,,44
,,81
,,42
,,96
,,67
,,68
,,63
,,31
,,47
,,64
,,56
,,40
,,48
,,52
,,32
,,40
,,36
,,52
,,44
,,24
,,47
,,44
,,24
,,18
,,36
,,48
,,32
,,98
,,58
,,80
,,42
,,64
,,24
,,12
,,0
,,20
,,20
,,31
,,15
,,44
,,0
,,0
,,15
,,36
,,32
,,0
,,31
,,34
,,10
,,20
,,8
,,4
,,0
,,7
,,0
,,52
,,44
,,16
,,25
,,0
,,16
,,31
,,1
,,38
,,0
,,32
,,0
,,0
,,32
,,8
,,32
,,8
,,0
,,4
,,0
,,8
,,15
,,0
,,0
,,32
,,4
,,0
,,20
,,16
,,4
,,0
,,18
,,16
,,40
,,63
,,4
,,24
,,12
,,32
,,12
,,24
,,1
,,36
,,0
,,47
,,0
,,16
,,0
,,8
,,31
,,28
,,4
,,16
,,30
,,3
,,0
,,28
,,63
,,4
,,24
,,31
,,2
,,24
,,16
,,7
,,20
,,20
,,32
,,0
,,28
,,8
,,3
,,0
,,0
,,0
,,16
,,0
,,0
,,0
,,1
,,0
,,16
,,12
,,0
,,0
,,0
,,4
Morgan,2013-07-23 12-42-12.347,
,,3
,,42
,,23
,,28
,,48
,,8
,,36
,,48
,,68
,,24
,,16
,,32
,,58
,,20
,,52
,,10
,,63
,,8
,,48
,,46
,,0
,,0
,,4
,,24
,,0
,,0
,,40
,,4
,,11
,,4
,,27
,,16
,,4
,,15
,,20
,,48
,,36
,,0
,,0
,,16
,,8
,,0
,,15
,,24
,,31
,,0
,,0
,,0
,,3
,,31
,,32
,,0
,,24
,,32
,,2
,,0
,,0
,,47
,,64
,,80
,,56
,,48
,,36
,,32
,,0
,,0
,,10
,,18
,,15
,,76
,,0
,,31
,,24
,,24
,,0
,,3
,,0
,,24
,,0
,,24
,,16
,,24
,,31
,,8
,,22
,,48
,,4
,,0
,,0
,,1
,,3
,,0
,,1
,,0
,,0
,,0
,,8
,,15
,,2
,,8
,,31
,,0
,,15
,,15
,,7
,,0
,,16
,,0
,,1
,,14
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,15
,,16
,,48
,,10
,,0
,,0
,,7
,,12
,,0
,,0
,,1
,,1
,,7
,,0
,,36
,,0
,,0
,,4
,,16
,,0
,,0
,,8
,,15
,,12
,,16
,,0
,,15
,,0
,,18
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,10
,,10
,,7
,,0
,,8
,,0
,,2
,,2
,,0
,,0
,,9
,,0
,,8
,,0
,,32
,,19
,,1
,,0
,,24
,,0
,,0
,,10
,,0
,,0
,,3
,,8
,,0
,,8
,,32
,,20
,,0
,,15
,,1
,,20
,,5
,,20
,,0
,,44
,,28
,,16
,,16
,,23
,,16
,,8
,,16
,,20
,,52
,,2
,,63
,,48
,,40
,,56
,,42
,,4
,,42
,,8
,,50
,,32
,,0
,,16
,,7
,,16
,,16
,,0
,,24
,,0
,,15
,,10
,,0
,,1
,,0
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,8
,,0
,,0
,,8
,,8
,,0
,,1
,,8
,,0
,,24
,,32
,,24
,,8
,,28
,,16
,,40
,,26
,,20
,,36
,,15
,,0
,,31
,,0
,,0
,,31
,,10
,,2
,,0
,,0
,,14
,,11
,,18
,,26
,,18
,,28
,,0
,,8
,,2
,,0
,,20
,,0
,,15
,,15
,,0
,,16
,,0
,,16
,,8
,,8
,,16
,,24
,,23
,,11
,,36
,,0
,,24
,,17
,,8
,,16
,,36
,,32
,,32
,,64
,,60
,,40
,,56
,,24
,,56
,,60
,,24
,,56
,,33
,,44
,,35
,,32
,,32
,,16
,,63
,,39
,,37
,,32
,,32
,,95
,,48
,,32
,,71
,,32
,,64
,,92
,,48
,,80
,,48
,,112
,,44
,,0
,,0
,,65
,,80
,,79
,,111
,,92
,,104
,,56
,,48
,,64
,,56
,,80
,,71
,,47
,,20
,,32
,,4
,,55
,,31
,,47
,,12
,,44
