Name,Time,Value
,,0
Quaran,2013-07-23 11-41-04.315,
,,0
,,1
,,2
,,2
,,0
,,0
,,0
,,11
,,1
,,0
,,2
,,1
,,0
,,2
,,0
,,1
,,0
,,1
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,2
,,0
,,2
,,0
,,0
,,0
,,1
,,0
,,1
,,1
,,2
,,2
,,0
,,2
,,2
,,7
,,0
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,0
,,40
,,35
,,19
,,32
,,16
,,42
,,24
,,0
,,3
,,100
,,96
,,41
,,35
,,41
,,55
,,53
,,48
,,46
,,25
,,0
,,0
,,1
,,0
,,1
,,0
,,0
,,0
,,0
,,1
,,8
,,34
,,24
,,0
,,0
,,0
,,0
,,0
,,44
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,1
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,1
,,3
,,1
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,1
,,0
,,0
,,1
,,0
,,1
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,3
,,3
,,0
,,0
,,0
,,1
,,0
,,1
,,0
,,1
,,3
,,3
,,0
,,67
,,95
,,68
,,72
,,76
,,19
,,56
,,88
,,85
,,48
,,47
,,80
,,66
,,75
,,96
,,65
,,66
,,100
,,36
,,56
,,60
,,76
,,100
,,74
,,32
,,152
,,96
,,80
,,79
,,71
,,79
,,31
,,62
,,48
,,72
,,80
,,79
,,54
,,8
,,56
,,16
,,0
,,0
,,0
,,1
,,12
,,0
,,0
,,12
,,0
,,12
,,12
,,12
,,12
,,0
,,44
,,48
,,58
,,75
,,65
,,64
,,52
,,63
,,60
,,67
,,64
,,63
,,44
,,54
,,88
,,40
,,0
,,0
,,0
,,0
,,3
,,12
,,0
,,7
,,0
,,16
,,0
,,0
,,0
,,16
,,16
,,14
,,7
,,1
,,0
,,7
,,16
,,0
,,0
,,0
,,0
,,7
,,0
,,12
,,0
,,12
,,12
,,1
,,0
,,0
,,0
,,10
,,0
,,8
,,34
,,16
,,27
,,24
,,20
,,26
,,16
,,12
,,40
,,81
,,42
,,26
,,42
,,48
,,55
,,63
,,16
,,48
,,56
,,10
,,40
,,72
,,48
,,48
,,48
,,20
,,54
,,13
,,64
,,72
,,23
,,64
,,16
,,48
,,36
,,68
,,87
,,24
,,64
,,40
,,64
,,24
,,63
,,32
,,88
,,31
,,72
,,24
,,0
,,0
,,16
,,0
,,0
,,3
,,0
,,0
,,20
,,20
,,3
,,15
,,28
,,40
,,24
,,63
,,36
,,24
,,32
,,40
,,3
,,16
,,20
,,16
,,15
,,0
,,48
,,24
,,13
,,16
,,92
,,58
,,128
,,79
,,76
,,76
,,39
,,8
,,24
,,52
,,0
,,0
,,64
,,26
,,36
,,10
,,36
,,64
,,56
,,34
,,72
,,63
,,40
,,28
,,32
,,16
,,20
,,16
,,15
,,0
,,32
,,24
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,15
,,28
,,0
,,0
Quaran,2013-07-23 11-45-41.588,
,,0
,,0
,,0
,,0
,,15
,,16
,,16
,,20
,,16
,,44
,,24
,,24
,,62
,,0
,,0
,,36
,,18
,,24
,,12
,,31
,,8
,,64
,,32
,,36
,,66
,,88
,,40
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,3
,,0
,,30
,,0
,,32
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,2
,,0
,,16
,,8
,,1
,,0
,,0
,,7
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,24
,,0
,,24
,,0
,,0
,,3
,,0
,,0
,,0
,,24
,,0
,,0
,,0
,,0
,,0
,,20
,,0
,,15
,,1
,,0
,,0
,,0
,,15
,,15
,,1
,,18
,,0
,,1
,,0
,,16
,,0
,,15
,,0
,,0
,,1
,,3
,,16
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
Quaran,2013-07-23 11-48-32.938,
,,0
,,0
,,0
,,0
,,0
,,31
,,16
,,34
,,16
,,0
,,2
,,36
,,26
,,26
,,72
,,48
,,47
,,42
,,36
,,32
,,44
,,44
,,40
,,36
,,84
,,3
,,0
,,40
,,116
,,88
,,48
,,80
,,72
,,40
,,44
,,36
,,32
,,26
,,24
,,32
,,12
,,40
,,0
,,0
,,0
,,72
,,16
,,12
,,0
,,0
,,3
,,23
,,32
,,26
,,40
,,82
,,32
,,44
,,0
,,8
,,8
,,58
,,16
,,31
,,0
,,0
,,0
,,0
,,50
,,0
,,0
,,0
,,0
,,31
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,7
,,31
,,0
,,0
,,1
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,31
,,15
,,0
,,0
,,0
,,0
,,34
,,0
,,0
,,0
,,0
,,0
,,31
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,3
,,0
,,28
,,0
,,0
,,26
,,0
,,1
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,3
,,0
,,0
,,1
,,8
,,0
,,0
,,0
,,18
,,0
,,16
,,0
,,0
,,16
,,0
,,0
,,0
,,16
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,0
,,16
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,12
,,3
,,0
,,0
,,0
,,7
,,0
,,8
,,3
,,0
,,8
,,0
,,0
Quaran,2013-07-23 11-51-51.061,
,,0
,,0
,,0
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,31
,,0
,,0
,,3
,,15
,,32
,,0
,,3
,,24
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,26
,,28
,,28
,,32
,,50
,,28
,,16
,,18
,,24
,,26
,,40
,,18
,,72
,,8
,,20
,,0
,,0
,,0
,,2
,,0
,,0
,,0
,,36
,,31
,,36
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,36
,,24
,,17
,,0
,,16
,,4
,,31
,,96
,,20
,,0
,,0
,,48
,,15
,,4
,,24
,,1
,,0
,,0
,,0
,,0
,,0
,,15
,,18
,,0
,,44
,,20
,,2
,,16
,,28
,,0
,,0
,,26
,,0
,,26
,,48
,,63
,,16
,,10
,,16
,,12
,,0
,,0
,,0
,,7
,,0
,,15
,,2
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,24
,,40
,,0
,,0
,,0
,,3
Quaran,2013-07-23 11-55-42.705,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
Quaran,2013-07-23 11-56-49.292,
,,7
,,0
,,0
,,0
,,0
,,15
,,63
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,31
,,0
,,0
,,0
,,31
,,0
,,1
,,0
,,62
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,15
,,0
,,0
,,60
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,31
,,0
,,7
,,0
,,0
,,48
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,32
,,31
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,40
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,36
,,0
,,31
,,0
,,0
,,0
,,15
,,0
,,36
,,31
,,0
,,34
,,0
,,0
,,31
,,0
,,0
,,0
,,0
,,32
,,30
,,0
,,0
,,0
,,4
,,0
,,0
,,1
,,0
,,0
,,0
,,15
,,32
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,24
,,0
,,0
,,0
,,0
,,20
,,15
,,0
,,20
,,0
,,8
,,7
,,2
,,15
,,0
,,0
,,0
,,0
,,0
,,16
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,12
,,0
,,0
,,12
,,0
,,12
,,12
,,10
,,10
,,10
,,1
,,0
,,0
,,0
,,0
,,0
,,0
,,8
,,8
,,0
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,8
,,8
,,8
,,0
,,0
,,8
,,6
,,1
,,8
,,3
,,8
,,0
,,7
,,0
,,0
,,0
,,3
,,6
,,8
,,0
,,8
,,0
,,0
,,8
,,0
,,6
,,6
,,4
,,4
,,1
,,0
,,4
,,0
,,4
,,3
,,4
,,0
,,4
,,4
,,0
,,8
,,0
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,0
,,8
,,8
,,0
,,8
,,0
,,3
,,8
,,10
,,8
,,8
,,0
,,0
,,8
,,7
,,3
,,0
,,0
,,0
,,0
,,0
,,6
,,8
,,8
,,3
,,3
,,8
,,8
,,0
,,0
,,3
,,8
,,0
,,0
,,7
,,7
,,8
,,0
,,0
,,7
,,0
,,0
,,0
,,8
,,12
,,18
,,0
,,0
,,0
,,3
,,0
,,0
,,0
,,0
,,8
,,4
,,0
,,8
,,8
,,0
,,8
,,3
,,8
,,7
,,0
,,0
,,0
,,0
,,6
,,0
,,6
,,8
,,0
,,3
,,8
,,8
,,8
,,0
,,6
,,0
