Time,Value
,1.92
,1.9
,1.88
,1.87
,1.85
,1.84
,1.82
,1.81
,1.79
,1.78
,1.76
,1.75
,1.73
,1.72
,1.71
,1.7
,1.68
,1.68
,1.67
,1.66
,NaN
,2.72
,2.58
,2.28
,1.55
,1.55
,1.52
,1.56
,1.93
,2.5
,2.57
,2.46
,2.07
,1.49
,1.48
,1.59
,1.87
,2.63
,2.59
,2.55
,2.53
,2.11
,1.94
,1.75
,1.76
,2.1
,2.7
,2.75
,2.66
,2.27
,1.63
,1.66
,1.71
,1.75
,2.17
,2.7
,2.79
,2.7
,2.26
,1.74
,1.69
,1.81
,2.11
,2.73
,2.78
,2.71
,2.69
,2.19
,1.74
,1.73
,1.82
,2.2
,2.75
,2.77
,2.7
,2.29
,1.73
,1.72
,1.8
,1.82
,2.3
,2.77
,2.85
,2.75
,2.24
,1.8
,1.81
,2.0
,2.47
,3.11
,3.09
,2.93
,2.87
,2.32
,1.91
,1.85
,1.94
,1.98
,2.53
1,2.88
,2.87
,2.71
,2.08
,1.93
,1.77
,1.78
,2.01
,2.44
,2.36
,2.48
,2.38
,2.03
,1.88
,1.86
,1.93
,2.22
,2.29
,2.44
,2.44
,2.31
,1.92
,1.88
,1.83
,1.93
,2.24
,2.64
