Time,Value
,".00
"
,"0
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.03
"
,"0.05
"
,"0.06
"
,"0.05
"
,"0.08
"
,"
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.03
"
,"0.05
"
,"0.06
"
,"0.05
"
,"0.08
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.03
"
,"0.07
"
,"0.11
"
,"0.13
"
,"0.17
"
,"0.28
"
,"0.25
"
,"0.30
"
,"0.30
"
,"0.31
"
,"0.33
"
,"0.25
"
,"0.28
"
,"0.20
"
,"0.10
"
,"0.05
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.05
"
,"0.10
"
,"0.10
"
,"0.17
"
,"0.20
"
,"0.31
"
,"0.34
"
,"0.39
"
,"0.03
"
,"0.11
"
,"0.15
"
,"0.19
"
,"0.28
"
,"0.19
"
,"0.12
"
,"0.01
"
1,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.09
"
,"0.12
"
,"0.17
"
,"0.26
"
,"0.30
"
,"0.24
"
,"0.45
"
,"0.01
"
,"0.03
"
,"0.47
"
,"0.38
"
,"0.24
"
,"0.03
"
,"0.13
"
,"0.02
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
